time,abs_mean_error,abs_std_error
0.000000000000000000e+00,5.364418029785156250e-07,2.682209014892578125e-07
1.000000000000000021e-02,1.889467239379882812e-05,1.014769077301025391e-04
2.000000000000000042e-02,2.095699310302734375e-04,5.762279033660888672e-05
2.999999999999999889e-02,2.949833869934082031e-04,1.754462718963623047e-04
4.000000000000000083e-02,5.196928977966308594e-04,1.457184553146362305e-04
5.000000000000000278e-02,7.808208465576171875e-04,6.040930747985839844e-05
5.999999999999999778e-02,8.217692375183105469e-04,1.543462276458740234e-04
7.000000000000000666e-02,8.199214935302734375e-04,1.681149005889892578e-04
8.000000000000000167e-02,7.152557373046875000e-04,1.772344112396240234e-04
8.999999999999999667e-02,6.329417228698730469e-04,2.602785825729370117e-04
1.000000000000000056e-01,6.154775619506835938e-04,2.483129501342773438e-04
1.100000000000000006e-01,7.935762405395507812e-04,2.554804086685180664e-04
1.199999999999999956e-01,8.006095886230468750e-04,2.722144126892089844e-04
1.300000000000000044e-01,8.555650711059570312e-04,1.201182603836059570e-04
1.400000000000000133e-01,7.486343383789062500e-04,1.850724220275878906e-04
1.499999999999999944e-01,5.868077278137207031e-04,2.005249261856079102e-04
1.600000000000000033e-01,6.457567214965820312e-04,1.961588859558105469e-04
1.700000000000000122e-01,8.307695388793945312e-04,2.763569355010986328e-04
1.799999999999999933e-01,9.828805923461914062e-04,3.307312726974487305e-04
1.900000000000000022e-01,9.598135948181152344e-04,2.629607915878295898e-04
2.000000000000000111e-01,1.002967357635498047e-03,1.910477876663208008e-04
2.099999999999999922e-01,1.031994819641113281e-03,1.581162214279174805e-04
2.200000000000000011e-01,9.087920188903808594e-04,1.214146614074707031e-04
2.300000000000000100e-01,9.244084358215332031e-04,5.050003528594970703e-05
2.399999999999999911e-01,8.605718612670898438e-04,4.336237907409667969e-06
2.500000000000000000e-01,9.543299674987792969e-04,7.465481758117675781e-06
2.600000000000000089e-01,1.113474369049072266e-03,1.507401466369628906e-04
2.700000000000000178e-01,1.273930072784423828e-03,2.371892333030700684e-04
2.800000000000000266e-01,1.504242420196533203e-03,2.741590142250061035e-04
2.899999999999999800e-01,1.448035240173339844e-03,2.040639519691467285e-04
2.999999999999999889e-01,1.520216464996337891e-03,3.768950700759887695e-04
3.099999999999999978e-01,1.503586769104003906e-03,3.213286399841308594e-04
3.200000000000000067e-01,1.526594161987304688e-03,1.380816102027893066e-04
3.300000000000000155e-01,1.617670059204101562e-03,2.361759543418884277e-04
3.400000000000000244e-01,1.584768295288085938e-03,2.289414405822753906e-04
3.500000000000000333e-01,1.703739166259765625e-03,2.659112215042114258e-04
3.599999999999999867e-01,1.772761344909667969e-03,3.286674618721008301e-04
3.699999999999999956e-01,1.841187477111816406e-03,4.025623202323913574e-04
3.800000000000000044e-01,1.786708831787109375e-03,5.283355712890625000e-04
3.900000000000000133e-01,1.826941967010498047e-03,6.341636180877685547e-04
4.000000000000000222e-01,1.760005950927734375e-03,4.152432084083557129e-04
4.100000000000000311e-01,1.662015914916992188e-03,4.675313830375671387e-04
4.199999999999999845e-01,1.848936080932617188e-03,4.696398973464965820e-04
4.299999999999999933e-01,1.873970031738281250e-03,4.663765430450439453e-04
4.400000000000000022e-01,1.902163028717041016e-03,6.041824817657470703e-04
4.500000000000000111e-01,1.854240894317626953e-03,5.655884742736816406e-04
4.600000000000000200e-01,1.747190952301025391e-03,6.000101566314697266e-04
4.700000000000000289e-01,1.708865165710449219e-03,5.932003259658813477e-04
4.799999999999999822e-01,1.775801181793212891e-03,6.068050861358642578e-04
4.899999999999999911e-01,1.829266548156738281e-03,5.514398217201232910e-04
5.000000000000000000e-01,1.830995082855224609e-03,6.142407655715942383e-04
5.100000000000000089e-01,1.949548721313476562e-03,6.939992308616638184e-04
5.200000000000000178e-01,2.099990844726562500e-03,6.788000464439392090e-04
5.300000000000000266e-01,2.283871173858642578e-03,8.423998951911926270e-04
5.400000000000000355e-01,2.275049686431884766e-03,7.716268301010131836e-04
5.500000000000000444e-01,2.232670783996582031e-03,8.793249726295471191e-04
5.600000000000000533e-01,2.204656600952148438e-03,9.456798434257507324e-04
5.700000000000000622e-01,2.373456954956054688e-03,9.985268115997314453e-04
5.799999999999999600e-01,2.573013305664062500e-03,9.431689977645874023e-04
5.899999999999999689e-01,2.666473388671875000e-03,1.016639173030853271e-03
5.999999999999999778e-01,2.747356891632080078e-03,1.061581075191497803e-03
6.099999999999999867e-01,2.710700035095214844e-03,1.057073473930358887e-03
6.199999999999999956e-01,2.950847148895263672e-03,1.236177980899810791e-03
6.300000000000000044e-01,2.995312213897705078e-03,1.181833446025848389e-03
6.400000000000000133e-01,2.965927124023437500e-03,1.237414777278900146e-03
6.500000000000000222e-01,2.995431423187255859e-03,1.191824674606323242e-03
6.600000000000000311e-01,3.097593784332275391e-03,1.290179789066314697e-03
6.700000000000000400e-01,3.018200397491455078e-03,1.369200646877288818e-03
6.800000000000000488e-01,3.062963485717773438e-03,1.322507858276367188e-03
6.900000000000000577e-01,3.095507621765136719e-03,1.276828348636627197e-03
7.000000000000000666e-01,3.163933753967285156e-03,1.253642141819000244e-03
7.099999999999999645e-01,3.224313259124755859e-03,1.078411936759948730e-03
7.199999999999999734e-01,3.309726715087890625e-03,1.363672316074371338e-03
7.299999999999999822e-01,3.242969512939453125e-03,1.324295997619628906e-03
7.399999999999999911e-01,3.333389759063720703e-03,1.467548310756683350e-03
7.500000000000000000e-01,3.335356712341308594e-03,1.568861305713653564e-03
