time,abs_mean_error,abs_std_error
0.000000000000000000e+00,4.470348358154296875e-06,1.311302185058593750e-06
1.000000000000000021e-02,6.734609603881835938e-03,3.399312496185302734e-03
2.000000000000000042e-02,1.529109477996826172e-02,6.798326969146728516e-03
2.999999999999999889e-02,2.258455753326416016e-02,1.058894395828247070e-02
4.000000000000000083e-02,3.013110160827636719e-02,1.586443185806274414e-02
5.000000000000000278e-02,3.820919990539550781e-02,1.815205812454223633e-02
5.999999999999999778e-02,4.626798629760742188e-02,2.214831113815307617e-02
7.000000000000000666e-02,5.522882938385009766e-02,2.626240253448486328e-02
8.000000000000000167e-02,6.485390663146972656e-02,3.203654289245605469e-02
8.999999999999999667e-02,7.374978065490722656e-02,3.396719694137573242e-02
1.000000000000000056e-01,8.193874359130859375e-02,3.564256429672241211e-02
1.100000000000000006e-01,8.787286281585693359e-02,3.703087568283081055e-02
1.199999999999999956e-01,9.567379951477050781e-02,4.203677177429199219e-02
1.300000000000000044e-01,1.041243076324462891e-01,4.502773284912109375e-02
1.400000000000000133e-01,1.136498451232910156e-01,4.659837484359741211e-02
1.499999999999999944e-01,1.238645315170288086e-01,5.076944828033447266e-02
1.600000000000000033e-01,1.331474781036376953e-01,5.356693267822265625e-02
1.700000000000000122e-01,1.439967155456542969e-01,5.902695655822753906e-02
1.799999999999999933e-01,1.549332141876220703e-01,6.376016139984130859e-02
1.900000000000000022e-01,1.656615734100341797e-01,6.865048408508300781e-02
2.000000000000000111e-01,1.753208637237548828e-01,6.934678554534912109e-02
2.099999999999999922e-01,1.855925321578979492e-01,7.217741012573242188e-02
2.200000000000000011e-01,1.957061290740966797e-01,7.823204994201660156e-02
2.300000000000000100e-01,2.094554901123046875e-01,8.410537242889404297e-02
2.399999999999999911e-01,2.216713428497314453e-01,8.906972408294677734e-02
2.500000000000000000e-01,2.329883575439453125e-01,9.440517425537109375e-02
2.600000000000000089e-01,2.450329065322875977e-01,9.814298152923583984e-02
2.700000000000000178e-01,2.575424909591674805e-01,1.024326086044311523e-01
2.800000000000000266e-01,2.702893018722534180e-01,1.093498468399047852e-01
2.899999999999999800e-01,2.852969169616699219e-01,1.148504018783569336e-01
2.999999999999999889e-01,2.990487813949584961e-01,1.202073097229003906e-01
3.099999999999999978e-01,3.119828701019287109e-01,1.234017610549926758e-01
3.200000000000000067e-01,3.268004655838012695e-01,1.348735094070434570e-01
3.300000000000000155e-01,3.403557538986206055e-01,1.350966691970825195e-01
3.400000000000000244e-01,3.549084663391113281e-01,1.377222537994384766e-01
3.500000000000000333e-01,3.711291551589965820e-01,1.492493152618408203e-01
3.599999999999999867e-01,3.876180648803710938e-01,1.615616083145141602e-01
3.699999999999999956e-01,4.045529365539550781e-01,1.741690635681152344e-01
3.800000000000000044e-01,4.183583259582519531e-01,1.717710494995117188e-01
3.900000000000000133e-01,4.322438240051269531e-01,1.779136657714843750e-01
4.000000000000000222e-01,4.475615024566650391e-01,1.809329986572265625e-01
4.100000000000000311e-01,4.655230045318603516e-01,1.888089179992675781e-01
4.199999999999999845e-01,4.855253696441650391e-01,1.978473663330078125e-01
4.299999999999999933e-01,5.058627128601074219e-01,2.108728885650634766e-01
4.400000000000000022e-01,5.207972526550292969e-01,2.107234001159667969e-01
4.500000000000000111e-01,5.403752326965332031e-01,2.277381420135498047e-01
4.600000000000000200e-01,5.591664314270019531e-01,2.371742725372314453e-01
4.700000000000000289e-01,5.796847343444824219e-01,2.458503246307373047e-01
4.799999999999999822e-01,6.028265953063964844e-01,2.601702213287353516e-01
4.899999999999999911e-01,6.195638179779052734e-01,2.710201740264892578e-01
